id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
48966,170008,Donkey Kong Jr.-e,"After the events of Donkey Kong, Mario has captured Donkey Kong as revenge for kidnapping his lady friend and Donkey Kong Jr. has to save him. However, every time Donkey Kong Jr. gets close to freeing his father, Mario just pushes him further away.",2002-09-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49125,6354,Green Eggs and Ham,NULL,2002-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49129,125320,LEGO Studios Backlot,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49913,133869,Snake EX,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50003,65646,Nijiiro Dodge Ball: Otome Tachi no Seishun,NULL,2002-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50011,11809,.hack//Outbreak,"After draining the third Phase, Kite and BlackRose are shocked to find the Lambda server corrupted. Kite encounters Mia, who isn't acting like her normal self. Mia lacks her usual energy and is not in the mood to join Kite. At Mac Anu, Mistral reveals that she is a pregnant housewife and as a result can't continue to aid Kite despite her wish to see the adventure through to the end. As a result of these events happening at around the same time, Kite begins to doubt if he is doing the right thing, much to the dismay of BlackRose. Even so, Kite continues to follow clues wherever he finds them. 
 
At Σ Chatting Snaring Twins, Kite travels the dungeon alone and picks up data left by Harald. At the bottom is Balmung fighting a Data Bug by himself. After Kite helps him defeat the anomaly, the two talk and finally decide to join forces, agreeing that they need each other's power. Balmung leads Kite deeper and into another white room, this one with hundreds of butterflies in it.",2002-12-12 00:00:00.000,5,NULL,NULL,NULL,70.0174,5
50107,126113,Combattre ou Mourir,"In the near future, three armies have developed to the point of controlling Earth, and fight to expand their borders. 
It all starts when China attacks Russia, and creates the Great Empire. It starts conquering Asian lands, and Australia in a relative world indifference. A new energy source is discovered, that lets the economy boom again, but it proves itself a huge threat (it's basically a new atom, that is a stable isotope of a really unstable one), and to prevent the Great Empire from accessing too much of it, an Alliance is formed between Europe and the US, and the 3rd World War starts. 
 
After 40 years of war, without a winner, a group of pacifists exile themselves on the Moon, and become the Mooners. They then enter the War to try and protect what remains of Earth, and that's when the story of players start, by enrolling in one of these three factions...",2002-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50279,43627,International Cue Club,NULL,2002-10-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50983,111740,Munkiki's Castles,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51385,11808,.hack//Mutation,"Kite and BlackRose return to Θ Chosen Hopeless Nothingness but find part of the area locked off. After a quick intervention with Balmung, the two return to Dun Loireag, where Kite is told that his Book of Law he won from the Level Up Campaign has an error that prevents it from being installed, so it is replaced with the Book of Absolute (which also cannot be installed). BlackRose claims to have never heard of the event. 
 
The two receive e-mails telling them to come to Θ Soaring Sky Bounded Abyss if they want to know more about the coma victims. It is actually a trap set up by system administrator Lios. Lios says that they should not pursue the matter any further and proceeds to delete Kite's character data along with the bracelet. Helba, however, interferes, saying that they cannot be deleted because of a mysterious encryption implanted in their character data. She introduces the theory that The World is based on the Epitaph of Twilight, telling the two to look to the Epitaph for clues. She then suggests to Lios to observe the two rather than try to delete them. Lios eventually agrees, deciding to use the two and the unique abilities of the bracelet to investigate the corrupted areas.",2002-09-09 00:00:00.000,7,NULL,67.0000,1,70.0192,8
